City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (current 3 hours),Snow Inches (current 3 hours)
0,Chokurdakh,RU,2020-01-17 00:41:48,70.63,147.92,-20.04,97,100,7.72,overcast clouds,0.0,0.0
1,Airai,TL,2020-01-17 00:41:49,-8.93,125.41,76.77,74,18,1.23,few clouds,0.0,0.0
2,Sitka,US,2020-01-17 00:41:49,57.05,-135.33,16.57,61,83,9.37,broken clouds,0.0,0.0
3,Port Alfred,ZA,2020-01-17 00:41:50,-33.59,26.89,71.01,95,0,16.44,clear sky,0.0,0.0
4,Oppdal,NO,2020-01-17 00:41:50,62.59,9.69,21.6,78,83,12.24,broken clouds,0.0,0.0
5,Albany,US,2020-01-17 00:41:50,42.6,-73.97,32.0,62,93,5.01,overcast clouds,0.0,0.0
6,Santiago Del Estero,AR,2020-01-17 00:41:51,-27.8,-64.26,71.87,29,99,7.11,overcast clouds,0.0,0.0
7,Abnub,EG,2020-01-17 00:41:51,27.27,31.15,48.04,82,0,5.95,clear sky,0.0,0.0
8,Baculin,PH,2020-01-17 00:41:51,7.45,126.58,74.03,88,85,2.84,overcast clouds,0.0,0.0
9,Castro,BR,2020-01-17 00:41:52,-24.79,-50.01,67.05,98,100,0.13,light rain,1.94,0.0
10,Bilma,NE,2020-01-17 00:41:52,18.69,12.92,55.85,48,31,15.64,scattered clouds,0.0,0.0
11,Rikitea,PF,2020-01-17 00:41:52,-23.12,-134.97,77.49,78,11,16.28,few clouds,0.0,0.0
12,New Norfolk,AU,2020-01-17 00:41:53,-42.78,147.06,59.0,54,80,1.01,broken clouds,0.0,0.0
13,Upernavik,GL,2020-01-17 00:41:53,72.79,-56.15,-10.91,58,1,3.85,clear sky,0.0,0.0
14,Coquimbo,CL,2020-01-17 00:41:54,-29.95,-71.34,62.82,88,7,0.49,clear sky,0.0,0.0
15,Barrow,US,2020-01-17 00:41:54,71.29,-156.79,12.2,78,1,11.41,clear sky,0.0,0.0
16,Marawi,PH,2020-01-17 00:41:55,8.0,124.29,81.0,78,46,1.99,scattered clouds,0.0,0.0
17,Hasaki,JP,2020-01-17 00:39:05,35.73,140.83,43.0,85,100,19.89,light rain,0.5,0.0
18,Ponta Do Sol,PT,2020-01-17 00:41:55,32.67,-17.1,60.01,84,0,1.99,clear sky,0.0,0.0
19,Cherskiy,RU,2020-01-17 00:41:56,68.75,161.3,-21.71,98,100,3.2,light snow,0.0,0.13
20,La Union,PE,2020-01-17 00:41:56,-5.4,-80.75,81.0,57,56,18.68,broken clouds,0.0,0.0
21,Nikolskoye,RU,2020-01-17 00:41:57,59.7,30.79,42.01,93,99,8.03,light rain,0.13,0.0
22,Busselton,AU,2020-01-17 00:41:57,-33.65,115.33,75.0,43,48,13.27,scattered clouds,0.0,0.0
23,Jamestown,US,2020-01-17 00:41:57,42.1,-79.24,28.99,89,98,11.01,light snow,0.0,0.62
24,Sinjai,ID,2020-01-17 00:41:58,-5.12,120.25,81.82,77,94,4.68,overcast clouds,0.0,0.0
