City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (current 3 hours),Snow Inches (current 3 hours)
0,Viedma,AR,2020-01-13 03:37:45,-40.81,-63.0,67.78,49,32,17.76,scattered clouds,0.0,0.0
1,Malm,NO,2020-01-13 03:41:27,64.07,11.22,37.99,69,90,6.93,overcast clouds,0.0,0.0
2,Creel,MX,2020-01-13 03:49:17,27.75,-107.63,37.99,47,100,1.43,overcast clouds,0.0,0.0
3,Georgetown,MY,2020-01-13 03:49:18,5.41,100.34,86.0,70,20,4.7,few clouds,0.0,0.0
4,Jamestown,US,2020-01-13 03:46:31,42.1,-79.24,30.99,80,90,3.36,overcast clouds,0.0,0.0
5,Alamogordo,US,2020-01-13 03:49:19,32.9,-105.96,48.2,28,1,9.17,clear sky,0.0,0.0
6,Yeppoon,AU,2020-01-13 03:49:19,-23.13,150.73,89.6,46,40,12.75,scattered clouds,0.0,0.0
7,Kahului,US,2020-01-13 03:49:20,20.89,-156.47,75.2,94,40,16.11,light rain,0.0,0.0
8,Mar Del Plata,AR,2020-01-13 03:49:20,-38.0,-57.56,62.01,82,0,6.6,clear sky,0.0,0.0
9,Cabo San Lucas,MX,2020-01-13 03:49:20,22.89,-109.91,68.0,82,90,4.7,overcast clouds,0.0,0.0
10,Hilo,US,2020-01-13 03:48:14,19.73,-155.09,77.0,78,90,4.7,light rain,0.0,0.0
11,Navrongo,GH,2020-01-13 03:49:21,10.9,-1.09,76.8,18,2,13.78,clear sky,0.0,0.0
12,Bitung,ID,2020-01-13 03:46:31,1.45,125.18,86.0,74,40,6.93,scattered clouds,0.0,0.0
13,Tasiilaq,GL,2020-01-13 03:49:22,65.61,-37.64,26.6,42,100,14.99,overcast clouds,0.0,0.0
14,Chuy,UY,2020-01-13 03:49:22,-33.7,-53.46,62.65,69,0,5.95,clear sky,0.0,0.0
15,Thompson,CA,2020-01-13 03:49:23,55.74,-97.86,-0.4,84,90,3.36,light snow,0.0,0.0
16,Butaritari,KI,2020-01-13 03:49:23,3.07,172.79,84.47,73,100,12.48,moderate rain,4.75,0.0
17,Mattru,SL,2020-01-13 03:49:23,7.62,-11.83,72.81,95,5,2.21,clear sky,0.0,0.0
18,Lasa,IT,2020-01-13 03:49:24,46.62,10.7,30.99,58,5,6.93,clear sky,0.0,0.0
19,Avarua,CK,2020-01-13 03:49:24,-21.21,-159.78,80.6,83,56,17.22,moderate rain,4.44,0.0
20,Warangal,IN,2020-01-13 03:49:25,18.0,79.58,65.14,41,0,2.55,clear sky,0.0,0.0
21,Ushuaia,AR,2020-01-13 03:47:18,-54.8,-68.3,50.0,87,75,3.85,shower rain,0.0,0.0
22,Busselton,AU,2020-01-13 03:49:25,-33.65,115.33,84.99,20,0,7.52,clear sky,0.0,0.0
23,Saskylakh,RU,2020-01-13 03:49:26,71.92,114.08,-6.21,91,67,10.11,broken clouds,0.0,0.0
24,Hermanus,ZA,2020-01-13 03:49:26,-34.42,19.23,70.0,84,0,10.0,clear sky,0.0,0.0
25,Pietarsaari,FI,2020-01-13 03:49:26,63.67,22.7,35.01,92,94,8.05,overcast clouds,0.0,0.0
26,Hobart,AU,2020-01-13 03:49:05,-42.88,147.33,89.01,18,20,12.75,few clouds,0.0,0.0
27,Barrow,US,2020-01-13 03:49:27,71.29,-156.79,-9.4,69,1,13.87,clear sky,0.0,0.0
28,Atuona,PF,2020-01-13 03:49:27,-9.8,-139.03,80.83,78,1,15.59,light rain,0.13,0.0
29,Mataura,NZ,2020-01-13 03:49:28,-46.19,168.86,59.0,58,35,13.0,scattered clouds,0.0,0.0
30,Vagur,FO,2020-01-13 03:49:29,61.47,-6.81,43.97,68,65,18.5,broken clouds,0.0,0.0
31,Bredasdorp,ZA,2020-01-13 03:49:29,-34.53,20.04,70.0,84,1,10.0,clear sky,0.0,0.0
32,Ratnagiri,IN,2020-01-13 03:49:29,16.98,73.3,72.14,61,33,1.72,scattered clouds,0.0,0.0
33,Saint George,US,2020-01-13 03:46:47,37.1,-113.58,41.0,50,1,5.82,clear sky,0.0,0.0
34,Namibe,AO,2020-01-13 03:49:30,-15.2,12.15,73.53,76,100,8.05,overcast clouds,0.0,0.0
35,Albany,US,2020-01-13 03:49:31,42.6,-73.97,32.0,68,40,9.17,scattered clouds,0.0,0.0
36,Kiunga,PG,2020-01-13 03:49:31,-6.12,141.29,79.25,90,100,2.48,light rain,1.88,0.0
